city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Melbourne,Melbourne,-37.8142,144.9631,Australia,AU,AUS,Victoria,admin,5031195.0,1036533631
Sydney,Sydney,-33.8667,151.2,Australia,AU,AUS,New South Wales,admin,4840600.0,1036074917
Brisbane,Brisbane,-27.4678,153.0281,Australia,AU,AUS,Queensland,admin,2706966.0,1036192929
Perth,Perth,-31.9558,115.8597,Australia,AU,AUS,Western Australia,admin,2141834.0,1036178956
Adelaide,Adelaide,-34.9275,138.6,Australia,AU,AUS,South Australia,admin,1387290.0,1036538171
Gold Coast,Gold Coast,-28.0167,153.4,Australia,AU,AUS,Queensland,,607665.0,1036153217
Cranbourne,Cranbourne,-38.0996,145.2834,Australia,AU,AUS,Victoria,,460491.0,1036685862
Canberra,Canberra,-35.2931,149.1269,Australia,AU,AUS,Australian Capital Territory,primary,381488.0,1036142029
Central Coast,Central Coast,-33.3,151.2,Australia,AU,AUS,New South Wales,,346596.0,1036067845
Wollongong,Wollongong,-34.4331,150.8831,Australia,AU,AUS,New South Wales,,261896.0,1036502269
Ipswich,Ipswich,-27.6144,152.7608,Australia,AU,AUS,Queensland,,232930.0,1036244388
Hobart,Hobart,-42.8806,147.325,Australia,AU,AUS,Tasmania,admin,197451.0,1036679838
Geelong,Geelong,-38.15,144.35,Australia,AU,AUS,Victoria,,180239.0,1036870987
Townsville,Townsville,-19.25,146.8167,Australia,AU,AUS,Queensland,,173724.0,1036500020
Newcastle,Newcastle,-32.9306,151.7542,Australia,AU,AUS,New South Wales,,152984.0,1036468001
Cairns,Cairns,-16.92,145.78,Australia,AU,AUS,Queensland,,146778.0,1036016939
Darwin,Darwin,-12.4381,130.8411,Australia,AU,AUS,Northern Territory,admin,139902.0,1036497565
Ballarat,Ballarat,-37.5608,143.8475,Australia,AU,AUS,Victoria,,116201.0,1036567186
Toowoomba,Toowoomba,-27.5667,151.95,Australia,AU,AUS,Queensland,,108398.0,1036765315
Bendigo,Bendigo,-36.75,144.2667,Australia,AU,AUS,Victoria,,103034.0,1036537913
Mandurah,Mandurah,-32.5289,115.7231,Australia,AU,AUS,Western Australia,,90306.0,1036773118
Launceston,Launceston,-41.4419,147.145,Australia,AU,AUS,Tasmania,,80943.0,1036170383
Melton,Melton,-37.6833,144.5833,Australia,AU,AUS,Victoria,,76346.0,1036007778
Mackay,Mackay,-21.1411,149.1858,Australia,AU,AUS,Queensland,,72900.0,1036507374
Bunbury,Bunbury,-33.3272,115.6369,Australia,AU,AUS,Western Australia,,71090.0,1036561011
Bundaberg,Bundaberg,-24.8661,152.3494,Australia,AU,AUS,Queensland,,70540.0,1036377333
Maroochydore,Maroochydore,-26.6553,153.0932,Australia,AU,AUS,Queensland,,63673.0,1036811987
Rockhampton,Rockhampton,-23.3781,150.5136,Australia,AU,AUS,Queensland,,63151.0,1036768986
Buderim,Buderim,-26.6847,153.0532,Australia,AU,AUS,Queensland,,58956.0,1036787785
